site,location,latitude,longitude,temperature,icon,city
1,"Nova Gorica",45.8958,13.6289,17,cloudy,"Bilje pri Novi Gorici"
2,Celje,46.2447,15.2525,11,,Celje
3,Črnomelj,45.5603,15.1508,14,,Črnomelj
4,Kočevje,45.6453,14.8542,11,,Kočevje
5,Maribor,46.48,15.6869,12,cloudy,"Letališče Edvarda Rusjana Maribor"
6,Ljubljana,46.2178,14.4775,12,cloudy,"Letališče Jožeta Pučnika Ljubljana"
7,Koper,45.4756,13.6206,16,cloudy,"Letališče Portorož"
8,"Murska Sobota",46.6525,16.1961,12,cloudy,"Murska Sobota"
9,"Novo mesto",45.8019,15.1822,13,cloudy,"Novo mesto"
10,Postojna,45.7664,14.1975,12,cloudy,Postojna
11,Jesenice,46.4975,13.7175,10,,Rateče
12,"Slovenj Gradec",46.49,15.1161,10,cloudy,"Slovenj Gradec"
