Location,Temperature
"Babno Polje",8.1
"Bilje Nova Gorica",9.8
Blegoš,2.6
"Bohinjska Češnjica",1.3
"Boršt Gorenja vas",7.3
Bovec,3.7
Breginj,7.3
"Bukovski vrh",4.7
Celje,5.4
"Cerkniško jezero",8.2
Davča,4.2
"Dobliče Črnomelj",8.6
"Dolenje Ajdovščina",11.8
Gačnik,6.7
Godnje,9.2
"Gornji Grad",8.7
"Hočko Pohorje",9
Hrastnik,6.8
Idrija,3.3
"Ilirska Bistrica",9.8
Iskrba,8.9
Jeronim,5.8
Jeruzalem,8
Jezersko,6.7
"Kamniška Bistrica",3.4
Kočevje,6.7
"Koper Kapitanija",12.5
"Korensko sedlo",2.7
"Krajinski park Goričko",5.4
Kranj,3.1
Kredarica,-4.1
Krn,5.4
Krško,7.4
Krvavec,-2
Kubed,10.8
Kum,1.6
Lendava,6.9
"Letališče Cerklje ob Krki",7.6
"Letališče Edvarda Rusjana Maribor",8.5
"Letališče Jožeta Pučnika Ljubljana",1
"Letališče Lesce",4.6
"Letališče Portorož",11.5
Lisca,4.3
Litija,1.2
Ljubljana,1
"Logarska dolina",2
Logatec,5.7
"Luka Koper",12.7
Malkovec,6.6
Maribor,7.2
"Marinča vas",6
Metlika,8.4
Mežica,-0.6
"Miklavž na Gorjancih",6.3
"Murska Sobota",8.5
Nanos,2.1
"Nova Gorica",10.3
"Nova vas - Bloke",7.2
"Novo mesto",7.4
Osilnica,8.1
Otlica,3.8
"Park Škocjanske jame",10.2
"Pasja ravan",4
"Pavličevo sedlo",4
"Piran - oceanografska boja",10.5
"Planina pod Golico",3.4
Podčetrtek,6.4
Podnanos,11
Postojna,8.3
Predel,3.6
Ptuj,8.4
Radegunda,5.5
Rateče,3.6
Ratitovec,-1.3
"Ravne na Koroškem",0.5
"Rogaška Slatina",6.3
Rogla,0.8
"Rudno polje",2.6
Sevno,5.3
Slavnik,4
"Slovenske Konjice",8.6
"Sveti Trije Kralji na Pohorju",3.6
Sviščaki,2.8
"Šebreljski vrh",3.9
"Šmartno pri Slovenj Gradcu",-0.3
Tatre,7.1
"Tolmin - Volče",3.2
Topol,5.9
Trbovlje,6.1
Trebnje,6.5
"Trojane - Limovce",3.8
"Tržaški zaliv (Zarja)",10.2
"Uršlja gora",0.4
Vedrijan,9.6
Velenje,7.5
"Velike Lašče",6.5
Vogel,0.1
Vrhnika,-0.5
Vršič,-0.4
Zadlog,6.1
Zelenica,0.7
"Zgornja Kapla",2.5
"Zgornja Radovna",3.4
"Zgornja Sorica",5.5
